object,disposition,reason
RTA Public Transportation Stations,UPLOAD,"Exact retained bytes, official dataset identity, open classification and SHA-256 locked"
Population by Community,UPLOAD,"Exact retained bytes, official dataset/resource identity, open classification and SHA-256 locked"
RTA Bus Stop Details,DERIVED-ONLY,"Publish deterministic 4,505-stop derivative; retain 451,712-row raw audit snapshot controlled"
RTA Metro Stations CSV,HOLD,"Official dataset identified, but retained file/version not hash-matched to portal resource"
RTA Metro GIS KML,HOLD,"Historical KML resource/version provenance not closed"
RTA Tram KML,HOLD,"Historical KML resource/version provenance not closed"
Parking Spaces Per Zone,HOLD,"Open listing verified; exact retained resource identity/version not closed"
Estimated Population by Community,HOLD,"Open listing verified; exact retained resource identity/version not closed"
Population Cluster,HOLD,"Open listing verified; exact retained resource identity/version not closed"
DEWA EV Green Charger study snapshot,HOLD/LINK,"Historical SHA known, but exact retained raw bytes not recovered"
Dubai Municipality Community KML,HOLD/LINK,"Historical 224-polygon inspection known, but exact retained bytes not recovered"
Geofabrik GCC OSM PBF,LINK-ONLY,"Dated OSM snapshot under ODbL; do not duplicate large raw file"
Google raw outputs,EXCLUDE,"Third-party platform terms; no raw redistribution"
Mixed raw 7,410 candidate archive,EXCLUDE/HOLD,"Mixed provenance; row-level redistribution gate not closed"
